tournament_year,stage,player1_name,player2_name
2017,FINAL,van Gerwen M.,Anderson G.
2017,SEMI-FINALS,van Gerwen M.,van Barneveld R.
2017,SEMI-FINALS,Anderson G.,Wright P.
2017,QUARTER-FINALS,van Barneveld R.,Taylor P.
2017,QUARTER-FINALS,van Gerwen M.,Gurney D.
2017,QUARTER-FINALS,Anderson G.,Chisnall D.
2017,QUARTER-FINALS,Wade J.,Wright P.
2017,1/8-FINALS,van Gerwen M.,Webster D.
2017,1/8-FINALS,Taylor P.,Huybrechts K.
2017,1/8-FINALS,Wright P.,White I.
2017,1/8-FINALS,Wade J.,Smith M.
2017,1/8-FINALS,Chisnall D.,Klaasen J.
2017,1/8-FINALS,Webster M.,Gurney D.
2017,1/8-FINALS,Lewis A.,van Barneveld R.
2017,1/8-FINALS,Anderson G.,van de Pas B.
2017,1/16-FINALS,Wright P.,Lewis J.
2017,1/16-FINALS,Klaasen J.,Dolan B.
2017,1/16-FINALS,Wade J.,Beaton S.
2017,1/16-FINALS,Huybrechts K.,Hopp M.
2017,1/16-FINALS,van Gerwen M.,Reyes C.
2017,1/16-FINALS,Taylor P.,Painter K.
2017,1/16-FINALS,van Barneveld R.,Norris A.
2017,1/16-FINALS,Chisnall D.,Dobey C.
2017,1/16-FINALS,Thornton R.,Gurney D.
2017,1/16-FINALS,Suljovic M.,Webster M.
2017,1/16-FINALS,Lewis A.,Cullen J.
2017,1/16-FINALS,Anderson G.,Gilding A.
2017,1/16-FINALS,Webster D.,Whitlock S.
2017,1/16-FINALS,van de Pas B.,Jenkins T.
2017,1/16-FINALS,Smith M.,King M.
2017,1/16-FINALS,White I.,Clayton J.
2017,1/32-FINALS,Huybrechts K.,Wilson J.
2017,1/32-FINALS,Chisnall D.,Rodriguez R.-J.
2017,1/32-FINALS,Van der Voort V.,Hopp M.
2017,1/32-FINALS,Klaasen J.,de Graaf J.
2017,1/32-FINALS,Thornton R.,Lerchbacher Z.
2017,1/32-FINALS,Wade J.,Huybrechts R.
2017,1/32-FINALS,Suljovic M.,Meulenkamp R.
2017,FINAL,Lerchbacher Z.,Stevenson S.
2017,1/32-FINALS,Whitlock S.,Horvat D.
2017,1/32-FINALS,van Barneveld R.,Green R.
2017,1/32-FINALS,Dolan B.,Kist C.
2017,FINAL,Koltsov B.,Horvat D.
2017,1/32-FINALS,Cullen J.,Cadby C.
2017,1/32-FINALS,Lewis A.,Caris M.
2017,1/32-FINALS,King M.,West S.
2017,FINAL,Qiang S.,Cadby C.
2017,1/32-FINALS,Taylor P.,Platt D.
2017,1/32-FINALS,Norris A.,Michael J.
2017,1/32-FINALS,Gurney D.,Wattimena J.
2017,FINAL,Bowles J.,Platt D.
2017,1/32-FINALS,White I.,Simm K.
2017,1/32-FINALS,Webster M.,Murnan J.
2017,1/32-FINALS,Pipe J.,Dobey C.
2017,FINAL,Simm K.,Ulang G.
2017,1/32-FINALS,van Gerwen M.,Viljanen K.
2017,1/32-FINALS,Bunting S.,Webster D.
2017,1/32-FINALS,Reyes C.,van den Bergh D.
2017,FINAL,Snook R.,Viljanen K.
2017,1/32-FINALS,van de Pas B.,Shah T. H.
2017,1/32-FINALS,Henderson J.,Gilding A.
2017,1/32-FINALS,Jenkins T.,Payne J.
2017,FINAL,Shah T. H.,Chino M.
2017,1/32-FINALS,Wright P.,Hendriks J.
2017,1/32-FINALS,Beaton S.,Petersen D.
2017,1/32-FINALS,Price G.,Clayton J.
2017,FINAL,Hendriks J.,Parry W.
2017,1/32-FINALS,Smith M.,Evans R.
2017,1/32-FINALS,Anderson G.,Frost M.
2017,1/32-FINALS,Lewis J.,McGowan M.
2017,1/32-FINALS,Caven J.,Painter K.
2016,FINAL,Lewis A.,Anderson G.
2016,SEMI-FINALS,Anderson G.,Klaasen J.
2016,SEMI-FINALS,van Barneveld R.,Lewis A.
2016,QUARTER-FINALS,Lewis A.,Wright P.
2016,QUARTER-FINALS,van Barneveld R.,Smith M.
2016,QUARTER-FINALS,Anderson G.,Wade J.
2016,QUARTER-FINALS,Norris A.,Klaasen J.
2016,1/8-FINALS,Taylor P.,Klaasen J.
2016,1/8-FINALS,Norris A.,Webster M.
2016,1/8-FINALS,Wright P.,Chisnall D.
2016,1/8-FINALS,van Gerwen M.,van Barneveld R.
2016,1/8-FINALS,Anderson G.,Van der Voort V.
2016,1/8-FINALS,Lewis A.,Suljovic M.
2016,1/8-FINALS,Wade J.,Caven J.
2016,1/8-FINALS,Smith M.,van de Pas B.
2016,1/16-FINALS,King M.,Klaasen J.
2016,1/16-FINALS,Taylor P.,Painter K.
2016,1/16-FINALS,Wright P.,Huybrechts R.
2016,1/16-FINALS,Lewis A.,Gilding A.
2016,1/16-FINALS,Pallett D.,Suljovic M.
2016,1/16-FINALS,Jenkins T.,Webster M.
2016,1/16-FINALS,Norris A.,Murnan J.
2016,1/16-FINALS,van Gerwen M.,Webster D.
2016,1/16-FINALS,Wade J.,Newton W.
2016,1/16-FINALS,van Barneveld R.,Bunting S.
2016,1/16-FINALS,Van der Voort V.,Anderson K.
2016,1/16-FINALS,van den Bergh D.,van de Pas B.
2016,1/16-FINALS,Smith M.,Beaton S.
2016,1/16-FINALS,Anderson G.,Gurney D.
